"Item Number","Item Description","Qty 1","UPC","On Order Qty","Department Name","","","","","","","","","","","","","","","",""
"33","Tape it Mounting tape","5","0021854751009","0","Stationery","","","","","","","","","","","","","","","",""
"34","Inte Approach Science BK 4 PEP","41","97897696324024","0","Books","","","","","","","","","","","","","","","",""
"35","RAINBOW READERES  WORKBOOK GRADE 1","13","9789768185822","0","Books","","","","","","","","","","","","","","","",""
"36","REGGAE READERS WORKBOOK 1","23","9780230026124","0","Books","","","","","","","","","","","","","","","",""
"37","REDISCOVERING MATHS GRADE 1","2","9789768245083","0","Books","","","","","","","","","","","","","","","",""
"38","PEOPLE PL,ACE & THINGS_x000D_
GRADE 2 WORKBOOK","-5","9789768237033","0","Books","","","","","","","","","","","","","","","",""
"467","Pencil Stabilo","-2","4006381139045","0","Stationery","","","","","","","","","","","","","","","",""
"494","Pritt Stick Office Glue Non Toxic 45G","49","0061083006259","0","Stationery","","","","","","","","","","","","","","","",""
"521","CRAYOLA WASHABLE KIDS PAINT","0","0071662324001","0","Stationery","","","","","","","","","","","","","","","",""
"548","SET SQUARE","0","6921734964359","0","Stationery","","","","","","","","","","","","","","","",""
"575","ENVELOPE 6 X 9 WHITE","392","","0","Stationery","","","","","","","","","","","","","","","",""
"602","MASKING TAPE 2''","0","0734484108029","0","Stationery","","","","","","","","","","","","","","","",""
"629","FILE FOLDER LEGAL SIZE","648","7453015132052","0","Stationery","","","","","","","","","","","","","","","",""
"656","3 1/8 MACHINE ROLL no sheen WHITE","-29","","0","Stationery","","","","","","","","","","","","","","","",""
"683","LITTLE TREASURY LULLABIES","0","9781782700609","0","Books","","","","","","","","","","","","","","","",""
"710","FIVE MINUTE STORIES","0","9780709723806","0","Books","","","","","","","","","","","","","","","",""
"737","RING BINDER 3.0","0","","0","Stationery","","","","","","","","","","","","","","","",""
"764","FOAM PATTERN","1","7453038474139","0","CRAFT","","","","","","","","","","","","","","","",""
"791","FELT ASSORTED","0","6915623961130","0","Stationery","","","","","","","","","","","","","","","",""
"818","HEART","2","7453015133691","0","CRAFT","","","","","","","","","","","","","","","",""
"1008","KHAKI SHIRT 4","6","","0","Uniform","","","","","","","","","","","","","","","",""
"1024","ID HOLDER","37","0068488058210","0","Stationery","","","","","","","","","","","","","","","",""
"1025","THE  FOX & THE STARK","0","9781910680810","0","Books","","","","","","","","","","","","","","","",""
"1026","Pearl Sharps ASSORTED","151","7453015115918","0","Stationery","","","","","","","","","","","","","","","",""
"1030","zerox L/S paper","0","","0","Stationery","","","","","","","","","","","","","","","",""
"1034","PROFESSION","12","7453038463119","0","Stationery","","","","","","","","","","","","","","","",""
"1036","1 subject book","0","7453000933640","0","Books","","","","","","","","","","","","","","","",""
"1056","fasteners 1/2","5","0026487670024","0","Stationery","","","","","","","","","","","","","","","",""
"1057","Brilliant Laser Copy paper l/S","0","0612668141072","0","Stationery","","","","","","","","","","","","","","","",""
"1060","Sticky Note 3 x 3 pink","0","7453015140453","0","Stationery","","","","","","","","","","","","","","","",""
"1087","Studmark foam mat a-z","0","7453015154399","0","Stationery","","","","","","","","","","","","","","","",""
"1090","Mathematics K2","3","9781534885752","0","Books","","","","","","","","","","","","","","","",""
"1117","Bond Verbal Reasoning Bk2 9-10","0","9780192740250","0","Books","","","","","","","","","","","","","","","",""
"441","DECORATIVE TAPE  ASSORTED","-14","6961424617042","0","Stationery","","","","","","","","","","","","","","","",""
"468","Pencil Stabilo","20","4006381123693","0","Stationery","","","","","","","","","","","","","","","",""
"495","Pritt Glue 22G","6","0061083006242","0","Stationery","","","","","","","","","","","","","","","",""
"522","MAPED CRAFT SCISSORS","7","3154146010052","0","Stationery","","","","","","","","","","","","","","","",""
"549","31/45/60 DEG SET","1","0079252325070","0","Stationery","","","","","","","","","","","","","","","",""
"576","ENVELOPE 10 X 13","837","","0","Stationery","","","","","","","","","","","","","","","",""
"603","MASKIN 3/4''","0","","0","Stationery","","","","","","","","","","","","","","","",""
"630","SALE STUDENT BOOK","3","","0","Stationery","","","","","","","","","","","","","","","",""
"657","3/4 LBS CARD BOARD","-2","","0","Stationery","","","","","","","","","","","","","","","",""
"684","SOCCER AND NONFICTION","0","9781844144297","0","Books","","","","","","","","","","","","","","","",""
"711","STORIES FOR 5 YEARS","0","9780709724216","0","Books","","","","","","","","","","","","","","","",""
"738","3'' RING BINDER","4","","0","Stationery","","","","","","","","","","","","","","","",""
"765","GLITTER FOAMY FIGURES","9","7453038468398","0","CRAFT","","","","","","","","","","","","","","","",""
"792","FLOWERS WITH STEM 4 TYPE","2","7453038450478","0","CRAFT","","","","","","","","","","","","","","","",""
"39","Students Companion  Pratice Bk","4","9781408276686","0","Books","","","","","","","","","","","","","","","",""
"40","Gateway to Numeracy MATHS BK 1","0","9789766381158","0","Books","","","","","","","","","","","","","","","",""
